Player,Skill Tier,time_played,games_won,win_percentage,weapon_accuracy_best_in_game,eliminations_per_life,kill_streak_best,eliminations_avg_per_10_min,deaths_avg_per_10_min,final_blows_avg_per_10_min,solo_kills_avg_per_10_min,objective_kills_avg_per_10_min,objective_time_avg_per_10_min,hero_damage_done_avg_per_10_min,healing_done_avg_per_10_min,scoped_accuracy_best_in_game,self_healing,self_healing_most_in_game,enemies_slept,nano_boost_assists,unscoped_accuracy_best_in_game,enemies_slept_most_in_game,nano_boost_assists_most_in_game,biotic_grenade_kills
Cloud#16925,Grandmaster,20792,17,56,51,1.86,12,10.56,5.68,3.06,0.32,3.09,37,3748,9017,100,7204,491,161,112,75,9,7,190
ShartCandy#1751,Grandmaster,18907,15,55,45,1.85,10,10.15,5.49,2.38,0.13,2.76,35,4075,8229,83,5966,536,165,108,78,11,10,139
moosey#11171,Grandmaster,27067,18,49,60,1.5,11,8.6,5.72,2.04,0.13,2.97,58,3221,9356,100,13404,756,260,115,93,11,11,190
NYX#23568,Grandmaster,25026,22,61,40,1.73,8,9.42,5.44,2.42,0,2.88,57,3880,7916,82,9259,692,196,108,84,11,8,168
ta1yo#1607,Grandmaster,440,0,100,32,3.67,5,15.0,4.09,2.73,0,2.73,1,6486,7723,64,60,60,5,4,53,5,4,7
Zembii#1184,Grandmaster,3685,4,57,51,3.4,7,11.07,3.26,2.12,0,3.58,22,5292,7952,74,1380,420,48,22,74,11,6,26
BySnow#2871,Grandmaster,1854,0,0,38,1.3,9,9.71,7.44,2.27,0,0.97,43,3512,7235,64,730,249,17,8,70,8,5,16
NolanCoronaV#1511,Grandmaster,14348,12,59,53,1.9,12,9.95,5.23,2.3,0.25,2.34,32,4681,8709,87,6297,594,143,78,76,11,9,111
Ashu#31519,Grandmaster,15758,15,66,46,1.71,9,9.14,5.33,1.64,0,2.89,50,3713,9745,82,7202,540,130,86,83,12,10,96
UnfixedPlain#2761,Grandmaster,3046,3,59,34,1.14,6,6.3,5.52,1.58,0,1.58,17,2886,9782,72,1688,519,15,9,78,6,4,16
Veni#11747,Grandmaster,3578,3,50,39,1.41,7,9.22,6.54,2.35,0,2.52,65,4053,7475,71,1772,522,29,13,73,7,5,25
Flame#12770,Grandmaster,2279,2,41,26,2.29,6,10.27,4.48,1.58,0,1.58,35,2896,9642,75,560,167,18,11,80,4,4,21
Smato1012#2722,Grandmaster,4398,4,58,45,3,11,12.69,4.23,2.46,0,4.78,75,4656,7856,80,1740,535,42,19,89,15,6,43
SF1#21416,Grandmaster,1271,1,44,21,1.07,6,7.56,7.08,4.25,0,3.31,55,3090,6831,60,808,432,11,4,70,5,2,8
Renko#11209,Grandmaster,2976,4,72,32,1.65,5,8.67,5.24,2.22,0,2.42,47,3939,9900,77,1362,486,22,22,68,7,5,18
Floomfie#1648,Grandmaster,20795,15,55,50,1.45,10,8.54,5.89,1.9,0.29,2.42,47,3228,9272,82,10880,731,164,100,120,12,8,134
Scorch#11714,Grandmaster,6603,7,66,50,1.73,9,9.45,5.45,1.64,0.27,2.27,27,3369,7723,73,2029,558,40,24,64,4,4,42
Lieven#11835,Grandmaster,4563,5,62,31,1.38,7,8.15,5.92,1.45,0.13,2.89,22,3170,8988,81,2395,476,42,30,68,12,8,28
Jejudo#11437,Grandmaster,801,1,100,17,2.14,7,11.24,5.24,2.25,0,3.75,12,2620,10000,69,435,435,9,6,51,9,6,7
UnUm#21826,Grandmaster,20374,18,63,41,1.42,8,7.27,5.12,1.53,0.09,1.94,51,3315,8909,80,10259,982,143,77,77,9,7,100
